x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,y
0,0,2,3,1,0,1,0,3,3,1,5,82,649433,41,0,0,157,3.427276442,7.2,9.61,7.24,0
0,3,2,3,4,0,1,0,0,4,4,2,63,1230496,28,0,0,188,3.464228058,4.07,9.45,7.65,0
5,3,1,8,5,0,0,0,3,4,4,0,145,511615,28,0,0,126,1.993282648,6.24,9.99,9.23,0
0,3,2,7,5,4,0,0,0,1,7,6,123,305162,28,0,0,126,1.758295029,5.77,14.27,9.52,0
0,10,2,3,4,0,0,0,3,0,7,1,69,194308,44,0,0,66,1.375939747,4.99,7.83,6.98,0
0,0,0,0,2,0,1,0,3,4,3,6,132,712834,41,0,0,141,2.369590524,3.8,10.82,8.73,1
0,5,0,7,2,4,1,0,3,2,0,3,182,490214,38,0,5806,126,3.055451202,5.02,12.63,7.58,1
0,0,2,0,1,0,0,0,0,1,1,4,79,906161,41,0,0,126,1.182626063,5.62,9.95,8.69,0
0,2,1,2,3,0,0,0,0,1,5,4,97,608369,22,0,0,126,1.935590268,5.6,8.79,7.64,0
2,0,0,0,2,0,1,0,2,1,0,6,170,476203,41,0,0,126,1.753721844,5.19,10.29,9.1,1
0,3,2,6,1,0,1,0,3,1,8,5,63,159115,28,0,0,110,3.212773364,6.01,10.19,8.11,0
5,1,0,5,2,0,1,0,3,4,7,6,170,476203,31,0,5975,126,2.96631623,4.77,8.03,9.45,1
3,4,2,5,3,0,1,0,0,4,6,1,123,205221,47,0,0,173,1.880758385,5.66,14.38,11.35,1
5,6,2,4,3,4,0,5,0,4,5,5,88,416811,35,0,0,126,1.169254686,6.31,9.98,9.83,0
None,3,0,None,2,0,1,0,3,1,7,4,192,425010,28,0,8178,101,-0.110909992,6.32,8.94,6.79,0
0,4,0,5,2,0,1,0,0,3,4,6,192,375998,47,47199,0,63,1.149433592,6.14,13.86,7.44,1
0,0,2,3,1,0,0,0,3,1,0,3,94,519943,41,0,0,204,2.247412062,5.41,10.34,6.17,0
4,3,0,12,2,0,1,0,2,0,2,2,97,649081,28,0,0,126,2.098392079,6.48,10.93,11.05,1
None,5,2,None,3,0,0,0,3,4,3,4,85,92240,38,0,0,141,1.422926468,3.38,11.29,8.73,0
0,3,3,8,3,0,0,0,3,4,9,7,72,1069847,28,0,0,126,1.070117365,4.58,9.45,10.78,0
0,3,2,1,3,0,1,0,3,0,4,6,148,691540,28,0,0,126,2.280234965,3.36,11.46,7.6,0
0,10,0,0,2,0,1,0,2,1,0,5,179,534972,44,0,0,126,3.022346455,4.94,10.46,6.22,1
3,3,0,1,0,0,0,0,3,0,2,5,107,1284324,28,0,0,126,3.616237137,4.56,8.58,9.62,1
1,0,0,5,2,0,1,0,3,2,4,6,198,547206,41,0,0,63,2.204118145,5.84,10.42,7.98,0
0,0,2,5,3,0,1,0,1,2,8,1,94,1467463,41,0,0,141,1.352981901,4.66,10.05,6.29,0
0,3,2,2,3,0,1,0,0,0,7,1,104,769115,28,0,0,126,0.810798736,6.1,10.41,6.7,0
0,3,2,2,5,0,1,36,3,4,1,7,75,886564,28,0,0,126,1.327987053,3.93,8.97,6.68,0
1,3,0,9,2,0,1,0,0,4,6,7,85,101411,28,0,0,126,2.875094707,4.04,8.55,7.67,0
0,14,0,8,2,0,1,20,1,1,2,1,129,765314,9,0,0,126,0.444383826,4.46,9.61,10.03,0
None,1,2,None,3,0,1,0,0,0,7,6,151,909544,31,0,0,110,0.634218529,5.64,9.92,9.77,0
1,8,0,9,2,0,1,0,1,2,5,2,229,673865,13,0,0,38,3.187769287,3.45,9.72,8.54,0
0,3,3,8,5,0,0,0,1,0,4,1,129,583268,28,0,0,126,0.718227488,5.86,12.34,9.76,0
0,0,0,4,2,0,1,0,1,4,7,1,97,504521,41,0,5928,157,0.832865192,4.84,8.73,7.81,1
0,1,0,8,2,0,1,0,3,1,6,0,97,730342,31,0,0,126,2.320985996,6.66,8.1,9.24,0
0,1,2,2,1,0,1,0,3,3,0,4,60,331312,31,0,0,63,0.587192072,4.34,11.52,6.82,0
0,3,0,4,4,0,1,0,2,1,8,7,119,106736,28,0,0,126,2.993197681,5.94,11.21,6.4,1
0,0,2,4,3,4,1,0,2,0,5,3,119,712809,41,42569,0,126,1.420054085,3.58,8.75,8.18,1
0,3,0,1,2,0,1,0,0,4,0,3,107,469690,28,0,0,173,1.53043057,4.9,5.06,10.76,1
0,3,2,11,4,4,0,14,0,3,7,1,126,499381,28,0,0,126,2.384446834,3.64,10.22,6.98,0
None,1,2,None,3,0,1,0,1,4,4,5,72,458559,31,0,0,126,2.182834288,4.86,8.06,6.48,0
0,0,3,0,5,0,0,0,0,1,1,0,104,623455,41,17137,0,126,1.245411662,5.98,11.72,8.24,0
0,3,2,7,3,0,1,0,1,1,6,1,75,1221718,28,0,0,151,2.007148375,4.78,11.34,6.64,0
4,0,2,5,3,0,0,0,1,4,3,2,148,860064,41,0,0,157,1.81358375,3.04,9.76,8.99,0
0,3,3,5,5,0,0,3,0,0,9,6,154,531061,28,0,1963,126,2.109686222,5.32,9.25,10.01,0
0,13,0,4,2,0,1,0,2,3,2,2,173,157595,50,0,0,188,2.228250917,5.11,7.16,7.02,1
0,0,0,5,2,0,1,None,0,4,5,1,110,1309243,41,0,0,126,1.317655447,4.2,8.21,5.23,1
0,2,1,3,5,0,0,0,2,2,5,6,138,509026,22,0,0,138,1.101333038,4.89,9.47,10.05,0
0,1,0,4,2,0,1,0,3,4,4,2,119,103409,31,0,0,141,1.109849372,3.26,13.47,6.8,0
0,3,0,7,2,0,1,0,3,4,1,0,79,342785,28,0,0,151,2.044689734,5.04,9.67,8.25,0
5,0,2,5,1,4,0,0,1,0,7,5,85,385348,41,0,0,126,2.273967325,4.87,10.6,8.49,0
0,3,0,8,0,0,0,0,2,1,2,5,154,137947,28,0,0,94,1.394586293,4.25,9.31,4.52,0
0,13,0,4,0,0,0,0,1,1,6,5,129,615190,50,0,5975,126,1.784191413,5.89,9.43,9.64,1
0,12,2,2,1,0,0,0,1,3,6,2,53,400132,19,0,0,63,1.004977324,4.4,9.96,8.94,0
0,3,0,1,2,0,1,0,2,0,2,2,160,511278,28,22927,0,157,0.523312486,5.14,10.96,7.61,1
0,3,0,10,2,0,1,0,2,1,7,3,110,281198,28,0,0,157,3.315657015,4.07,7.91,9.67,1
0,3,0,10,2,0,1,0,2,2,5,0,107,1197427,28,0,0,126,1.467963695,5.41,10.51,10.06,0
0,3,2,2,1,4,1,0,0,3,8,6,60,766910,28,0,0,94,1.105154469,5.41,7.56,6.84,0
0,0,2,5,3,0,0,0,2,1,0,3,97,99274,41,0,0,126,1.902141113,6.72,9.5,8.54,0
None,7,1,None,5,0,0,20,2,2,0,0,113,675116,16,0,0,126,3.182643259,3.73,5.82,7.04,0
0,1,2,8,3,0,0,0,0,4,1,5,75,672229,31,0,0,126,1.255567477,5.38,6.94,6.42,0
0,1,2,8,5,0,1,0,0,1,1,3,66,965459,31,0,0,126,1.867140417,3.63,8.68,9.6,0
4,1,3,2,5,4,0,0,1,3,9,2,157,434664,31,0,0,88,2.895792961,5.56,9.73,9.03,0
0,7,0,7,2,0,1,0,1,2,7,0,148,380522,16,0,0,126,0.818014761,5.57,9.64,6.56,0
None,3,2,None,3,0,1,0,1,1,5,5,148,677390,28,0,0,38,1.810822494,5.64,6.51,7.1,0
3,6,2,0,5,4,1,0,0,0,4,4,85,565810,35,3616,0,126,1.100865589,5.64,10.89,7.22,0
0,8,0,1,2,0,1,20,2,1,7,1,148,1434643,13,0,0,126,1.735320664,4.33,9.02,7.54,0
2,3,2,9,1,0,1,0,1,3,9,6,66,708247,28,0,0,126,2.851424174,2.73,9.99,6.24,0
0,1,1,8,3,0,0,0,1,4,4,5,167,110276,31,0,0,107,1.917816902,4.4,6.67,5.6,0
0,3,2,6,3,4,1,0,0,4,5,2,85,807493,28,0,0,188,2.137470492,6.42,13.49,8.92,0
0,0,1,8,3,0,0,0,2,1,7,3,182,472998,41,44246,0,126,1.763462713,3.89,9.25,7.51,1
0,1,0,5,2,0,1,0,2,4,2,5,72,1541407,31,8888,0,132,3.262733653,5.23,10.12,8.39,0
0,1,0,4,2,0,1,0,2,4,1,2,85,598131,31,0,0,126,0.852557153,4.67,9.09,6.83,0
0,3,2,8,1,0,0,0,2,3,6,7,69,587641,28,0,0,126,0.765021478,3.89,7.17,9.13,0
0,1,0,6,2,0,1,0,0,4,2,5,198,490487,31,0,0,141,1.332283736,5.6,11.4,10.87,0
0,3,0,5,2,0,1,0,0,3,8,0,173,836741,28,0,0,145,1.529297495,4.89,9.91,7.86,0
4,6,0,4,2,0,1,0,2,1,6,1,201,301832,35,0,0,126,0.905233109,4.78,8.54,7.85,1
0,1,0,1,2,0,1,0,2,2,8,5,110,516874,31,0,0,126,2.971058939,3.6,11.61,6.63,0
0,14,3,6,3,4,1,0,2,3,4,1,188,431938,9,0,0,126,1.513890089,3.78,9.83,6,0
5,3,0,12,2,0,1,0,3,1,3,7,94,452590,28,0,0,126,0.229861775,5.47,9.84,8.85,1
1,6,0,9,2,0,1,0,0,4,0,7,94,249138,35,0,0,188,0.240290875,4.84,13.81,10.98,0
3,3,2,6,3,0,1,0,1,0,5,2,145,1022818,28,0,0,126,1.695472932,3.6,9.59,7.1,0
None,2,1,None,3,1,0,0,0,2,6,5,204,335868,22,0,0,47,2.190191567,4.82,12.11,7.29,0
0,1,1,6,1,0,1,0,3,1,9,1,151,595212,31,6836,0,126,1.546764307,4.65,12.15,7.18,0
0,0,0,5,2,3,1,26,2,3,2,4,101,713814,41,0,0,126,1.061602132,5.29,12.15,9.96,0
5,10,2,5,3,0,1,0,2,3,4,0,132,123273,44,0,0,220,1.766099156,5.88,7.32,9.14,0
1,12,0,9,2,0,1,0,2,2,5,2,82,811492,19,0,0,311,3.560891211,3.91,13.2,8.08,0
2,10,0,4,2,0,1,0,3,1,6,7,157,906758,44,0,0,157,3.213782412,5.45,8.93,7.11,1
0,3,1,3,3,0,0,0,2,0,4,6,97,549964,28,0,0,126,4.440039883,5.43,11.86,7.43,0
5,0,2,4,3,1,0,0,3,4,1,0,110,541846,41,9353,0,141,1.375488396,4.87,9.4,3.96,0
0,3,2,7,1,0,1,0,0,2,0,1,66,507392,28,0,0,126,3.178654139,4.83,11.36,5.31,0
0,3,0,4,2,4,1,0,1,2,9,3,157,473991,28,0,5928,173,3.146562137,4.69,10.02,9.92,1
0,3,2,2,5,0,1,21,1,1,5,0,138,717904,28,0,0,63,1.971543635,4.55,10.05,8.44,0
0,3,2,1,3,0,1,0,1,3,4,6,60,778107,28,0,0,141,2.616595272,5.52,8.2,8.65,0
1,3,2,1,4,0,1,0,0,1,8,0,69,625211,28,0,0,63,1.315232284,4.23,12.95,9.39,0
0,0,0,4,2,0,1,None,0,2,1,0,119,395630,41,0,0,126,0.916158045,6.18,7.32,7.2,1
0,3,3,2,1,0,0,0,3,1,1,2,101,572631,28,0,0,116,1.692696843,6.17,12.3,7.13,0
0,1,0,4,2,0,1,0,1,1,1,1,104,542440,31,0,0,220,3.559208802,3.61,12.51,10.01,1
0,3,2,8,3,0,0,0,3,0,0,5,151,341488,28,0,0,126,3.157926936,5.61,11.23,8.23,0
0,0,2,5,1,0,0,0,1,2,8,2,69,196372,41,0,0,126,2.853534539,6.6,7.75,7.69,0
4,10,0,5,2,0,1,0,3,2,3,2,135,116000,44,0,0,126,1.137112517,4.86,7.4,8.03,1
4,10,0,5,2,0,1,0,1,0,9,1,101,710930,44,0,0,157,2.615678811,4.51,10.14,10.23,1
4,0,2,5,3,0,1,16,1,3,6,2,79,1052449,41,0,0,110,1.226227194,5.12,14.85,7.76,0
None,14,4,None,3,0,0,0,2,0,9,6,226,304317,9,0,0,126,2.54112033,4.36,7,8.46,0
1,3,0,9,2,1,1,8,0,0,5,1,138,492247,28,0,0,132,1.724819246,3.79,13.52,6.66,0
0,6,2,2,3,0,1,0,1,1,0,6,101,293057,35,0,0,126,2.50418425,6.51,10.34,7.51,0
2,5,0,4,2,0,1,0,3,2,1,4,123,526160,38,0,0,157,1.459809002,4.37,6,7.67,1
4,8,2,2,5,4,0,0,1,1,3,4,173,279149,13,0,0,126,0.517949152,4.27,7.49,6.27,0
4,3,3,12,3,0,1,0,1,0,2,3,123,637963,28,0,0,126,1.826646413,2.83,9.92,6.73,0
None,1,0,None,2,0,1,0,2,0,8,6,179,157859,31,0,0,126,2.264807448,2.74,10.05,9.63,0
0,3,0,4,2,0,1,0,2,1,6,3,94,591757,28,16267,0,126,1.180820041,5.95,9.52,6.33,1
0,3,2,2,3,4,1,8,3,3,0,1,79,157246,28,0,0,126,2.017912833,4.43,7.19,6.9,0
0,6,0,1,2,0,1,0,0,1,2,2,66,107788,35,0,8178,126,1.802703895,5.64,10.88,5.52,0
None,12,2,None,1,4,1,0,1,0,8,0,79,675207,19,0,0,126,2.223954583,4.43,8.57,7.3,0
0,3,0,1,2,0,1,0,3,0,5,3,157,460020,28,0,0,126,0.521794341,4.4,14.64,7.88,0
0,10,0,4,2,0,1,0,1,4,7,2,145,370234,44,314156,0,157,1.476934396,5.11,9.08,9.56,1
0,1,3,3,3,0,1,0,2,0,4,7,85,335946,31,0,0,126,2.225861549,4.09,12.21,8.14,0
1,5,0,9,0,0,0,0,3,4,7,7,176,266325,38,0,0,126,1.596329504,4.06,9.05,7.05,0
2,4,0,5,2,0,1,0,1,0,5,5,176,236292,47,0,0,101,2.98363222,6.15,12.17,7.47,1
0,3,2,3,1,0,1,0,3,4,6,4,79,821586,28,0,0,110,3.221466357,4.57,8.04,6.28,0
0,3,0,7,2,4,1,0,2,3,9,5,135,531168,28,0,0,126,3.626065515,6.07,13.38,6.91,0
0,1,0,8,2,0,1,0,1,0,7,5,126,637498,31,0,0,126,1.828855673,5.82,8.54,7.85,0
5,0,0,5,2,0,1,0,2,3,8,1,107,1030135,41,0,0,173,3.515005317,4.26,8.26,7.34,0
0,6,1,8,5,0,0,0,3,4,6,6,126,564654,35,0,0,157,3.58571086,4.7,10.99,9.38,0
0,1,2,8,3,0,1,0,1,0,6,3,69,1071996,31,0,0,63,2.535391976,3.25,10.55,10.06,0
0,0,2,1,3,0,1,0,1,2,7,7,85,946568,41,0,0,157,3.110627254,3.87,8.23,6.8,0
0,0,2,3,3,0,1,0,2,2,2,2,110,617295,41,0,0,157,-0.393284226,3.17,10.51,9.76,0
1,3,0,9,2,0,1,0,3,1,6,7,157,642148,28,0,0,264,3.03024419,4.77,12.19,11.31,1
0,2,0,1,2,0,1,0,3,4,8,0,201,569357,22,0,6846,126,3.092721717,4.61,6.59,9.26,0
0,0,0,4,2,0,1,0,1,3,3,2,79,123188,41,0,0,126,2.834882831,6.27,10.84,7.9,0
0,0,0,4,2,0,1,0,0,3,1,7,97,537159,41,0,0,188,1.344401836,3.76,9.66,7.71,1
0,1,1,4,5,0,0,0,3,3,3,7,104,372279,31,0,0,126,1.48211206,5.78,12.26,9.12,0
0,3,1,10,5,0,1,0,3,1,4,1,107,479071,28,0,0,188,0.705953965,4.66,7.63,4.44,0
0,0,0,6,2,0,1,0,3,2,3,0,148,771965,41,0,0,126,3.424758638,5.24,10.21,8.85,0
0,13,0,4,2,0,1,0,1,2,7,6,138,394147,50,0,0,188,3.312004673,6.06,12.8,9.09,1
0,3,2,7,5,0,1,0,1,4,7,2,82,319852,28,17973,0,126,2.249859812,4.24,10.39,10.55,0
0,7,0,6,2,0,1,0,0,3,2,2,119,809698,16,0,0,126,3.681563349,5.05,14.21,10.87,0
0,6,0,12,2,0,1,0,0,3,6,5,138,174029,35,0,0,126,2.220620866,5.34,9.94,8.34,0
0,7,1,3,3,0,1,0,2,1,0,0,192,678408,16,0,0,79,1.823055643,4.82,6.02,5.45,0
0,0,0,3,2,0,1,0,0,3,0,3,94,853602,41,22927,0,157,3.903159963,4.41,10.01,6.06,1
0,2,0,3,2,0,1,0,2,1,3,0,176,498810,22,0,0,173,0.476558703,2.91,13.42,8.95,0
0,12,2,1,1,0,1,0,3,1,1,7,57,396287,19,0,0,94,0.488331811,5.23,12.4,5.6,0
5,1,2,2,1,0,0,0,0,2,6,3,69,494273,31,0,0,47,1.9876833,6.46,11.49,8.92,0
0,3,2,8,5,4,0,0,3,1,5,7,75,646801,28,0,0,126,3.389360697,4.74,7.32,8.29,0
0,2,0,0,0,4,0,0,1,3,8,2,176,404310,22,0,0,126,1.941215652,4.87,12.11,12.1,0
0,0,2,5,1,1,0,0,3,4,3,7,72,219431,41,0,0,63,1.322275872,3.44,8.7,7.5,0
5,10,0,0,2,0,1,5,1,4,6,7,91,504951,44,0,0,157,2.283889095,4.98,11.81,8.79,0
0,3,1,2,5,0,0,0,3,0,9,1,107,402322,28,0,0,113,2.811172768,5.05,11.67,9.89,0
4,10,2,5,3,0,0,0,0,0,4,4,107,691358,44,0,0,157,1.45288315,6.06,11.6,10.22,0
0,6,0,1,2,0,1,0,0,1,8,7,160,508429,35,0,0,179,2.668148231,6.64,9.99,5.55,0
0,3,2,7,1,0,0,None,1,0,7,3,104,431372,28,0,0,126,2.747177319,5.1,11.87,7.45,0
0,1,0,3,2,0,1,0,1,1,7,5,126,725585,31,0,0,126,3.660111454,5.99,9,7.75,0
0,1,2,8,3,0,0,3,1,1,5,3,97,557934,31,0,0,126,2.157520797,3.94,11.12,10.36,0
0,1,0,5,2,0,1,0,3,0,4,4,110,807521,31,0,0,157,2.74674325,5.91,10.71,8.74,0
0,0,2,2,3,0,1,36,3,3,8,2,107,1087098,41,0,0,126,0.773989334,6.75,11.29,7.18,0
0,1,1,5,5,0,0,0,2,1,6,3,113,95847,31,0,0,141,0.972640528,6.34,14.31,7.42,0
1,6,0,3,2,0,1,0,3,4,1,7,167,827618,35,0,0,157,1.227028222,6.2,7.06,7.38,1
1,3,0,4,2,0,1,0,2,0,2,5,138,564095,28,0,6211,141,3.041344692,3.15,8.38,9.76,1
0,6,0,6,2,0,1,0,0,1,9,7,94,439858,35,0,0,167,0.247927267,4.14,11.98,6.52,0
0,10,2,4,3,0,1,0,3,0,4,0,151,470108,44,0,0,126,4.096164207,5.25,8.24,7.18,0
0,7,0,7,0,0,0,0,1,1,5,0,88,659109,16,0,0,126,2.731099745,5.34,10.28,9.52,0
5,0,2,5,3,0,0,0,3,4,6,6,82,115425,41,0,0,63,2.518363174,5.61,8.9,9.75,0
0,4,0,5,2,0,1,0,1,0,0,0,132,1188728,47,0,5975,188,2.84170414,6.54,9.24,10.51,1
3,1,2,8,3,0,0,0,0,1,5,5,119,549081,31,0,6220,126,2.26307562,6.45,9.39,7.64,0
4,0,2,5,1,4,0,0,0,2,2,4,82,1061440,41,0,0,126,1.784586919,4.8,6.92,5.58,0
0,12,0,1,2,0,1,0,2,3,1,6,173,629000,19,0,0,126,0.768394597,5.3,12.32,6.64,1
0,1,1,3,5,0,0,4,1,1,4,3,94,500528,31,0,0,204,1.419794478,5.27,9.36,7.36,0
0,3,2,8,5,0,0,0,3,2,6,1,104,738617,28,0,0,126,1.884746601,3.25,10.34,7.83,0
0,3,0,8,2,0,1,0,2,4,9,1,116,582322,28,0,0,126,0.101264273,3.45,11.1,9.52,0
5,1,2,5,3,0,0,0,1,0,0,2,94,794251,31,0,0,126,2.958149043,5.37,8.72,7.99,0
0,3,0,4,2,0,1,0,1,4,9,1,220,111508,28,0,0,94,3.414355174,4.87,9.63,6.5,0
0,1,2,8,3,0,0,None,0,1,9,7,63,1088062,31,0,0,126,0.525370723,4.54,8.23,8.44,0
0,3,2,8,5,0,0,0,3,1,2,4,94,143825,28,0,0,126,1.743794001,5.61,9.13,9.44,0
0,3,0,3,2,0,1,0,0,1,9,0,185,503792,28,0,0,188,2.748129945,4.69,9.53,7.05,0
0,13,0,4,2,0,1,0,3,2,7,4,123,900974,50,0,0,141,1.318780497,4.18,9.19,8.89,1
0,3,0,6,2,0,1,0,2,0,1,0,110,555550,28,0,0,126,1.851707437,4.77,9.2,5.13,0
0,3,0,2,2,0,1,0,0,1,2,1,119,619136,28,0,0,126,0.849456743,5.7,8.68,7.06,0
0,0,0,1,2,0,1,0,2,0,4,7,123,857498,41,0,0,141,1.955220159,5.38,9.06,9.06,1
0,3,1,8,5,0,1,0,0,1,7,3,101,1120572,28,12211,0,126,2.81308003,4.94,11.74,8.48,0
0,3,2,3,1,0,1,0,1,0,2,4,60,291738,28,0,0,63,3.52986659,5.3,8.97,7.54,0
0,3,2,0,3,0,0,0,1,2,2,1,104,383167,28,0,0,157,3.355639748,4.65,9.04,7.61,0
4,10,2,5,3,0,1,0,2,1,7,0,75,361981,44,33050,0,126,2.579936563,6.25,9.28,8.63,1
0,0,2,4,5,0,1,0,1,2,7,7,72,410835,41,0,0,126,1.607303688,3.8,9.81,7.44,0
0,3,0,10,2,0,1,0,3,0,5,4,185,337149,28,0,0,157,3.04560147,3.83,8.11,6.13,0
0,8,0,7,2,0,1,0,1,3,4,2,157,534228,13,0,0,126,0.978876042,5.97,12.16,5.29,0
0,3,2,3,1,0,1,0,0,4,6,0,82,1013431,28,0,0,126,2.243147501,4.47,9.17,8.33,0
0,1,1,8,1,0,0,0,2,4,3,4,94,1189793,31,0,0,173,1.750076472,3.74,10.92,6.39,0
0,9,1,7,3,0,0,0,1,4,9,3,88,578298,25,0,0,126,1.736603294,3.93,12.85,7.33,0
None,12,0,None,2,0,1,0,0,1,4,3,239,249584,19,3685,0,126,2.132366682,2.87,10.48,10.34,0
0,12,2,2,1,0,0,0,3,0,8,5,53,109777,19,0,0,47,1.943384393,5.5,8.58,8.56,0
0,3,2,0,3,0,1,0,1,3,9,1,85,227586,28,0,0,126,3.171255846,6.46,8.77,7.9,0
0,14,3,7,3,0,0,20,2,3,6,2,135,593463,9,0,0,126,1.652313253,6.99,11.06,8.39,0
0,1,0,8,0,0,0,0,3,4,6,2,160,369765,31,0,0,126,0.937286573,5.42,9.86,8.36,0
3,3,2,1,3,0,1,0,2,3,2,6,88,1073510,28,0,0,126,1.750536952,5.43,12.42,8.29,0
None,3,0,None,2,0,1,0,3,2,6,7,204,468251,28,0,0,126,1.203226207,5.83,9.27,6.97,0
0,1,0,3,2,0,1,0,1,2,7,4,141,631711,31,0,0,188,1.675796543,4.36,9.28,8.13,1
0,1,2,4,3,0,0,22,2,1,4,4,151,504687,31,0,0,126,3.215560217,4.91,10.34,8.42,1
1,1,2,1,3,0,1,0,3,2,2,2,116,556932,31,0,0,126,2.827735785,5.8,9.6,6.81,0
0,9,2,2,1,0,0,0,0,2,1,3,57,291741,25,0,0,63,1.879956455,4.52,11.43,7.37,0
0,1,2,9,1,0,1,0,2,0,2,5,69,993698,31,0,0,157,2.230921856,5.33,5.97,9.58,0
0,1,2,6,1,0,1,0,2,1,7,7,72,743832,31,0,0,126,3.50118503,4.73,11.48,8.17,0
0,1,2,8,1,0,0,0,0,4,1,4,63,899724,31,6836,0,63,1.19307706,6.21,10.77,8.6,0
